Product,Count,%Count,types,EOS,Rank
Panorama,522,31.779035139964265,Firewall Management/Logging - VM Models,,1
PA-M-200,96,6.6605122096486005,Firewall Management/Logging,No,2
M-600,36,3.122692078618225,,,3
PA-M-600,34,3.0047647409172127,Firewall Management/Logging,No,4
WF-500,15,1.8844550327575937,Threat Analysis,No,5
Prisma Access for Users,14,1.8254913639070875,,,6
Prisma Access,12,1.7075640262060752,Secure Access,,7
Cortex XDR,12,1.7075640262060752,,,7
PA-VM-FLEX,7,1.4127456819535438,Virtualized  NG Firewall,No,8
M-500,6,1.3537820131030376,,,9
ION 3000,6,1.3537820131030376,SD-WAN,,9
PA-220-ZTP,6,1.3537820131030376,Security Appliance Firewall- HW Model-ZTP,No,9
PA-850-ZTP,5,1.2948183442525312,Security Appliance Firewall- HW Model-ZTP,No,10
Cortex Data Lake,4,1.235854675402025,Storage Product,,11
ION 2000,4,1.235854675402025,SD-WAN,,11
PA-3220-ZTP,4,1.235854675402025,Security Appliance Firewall- HW Model-ZTP,No,11
TRAPS,3,1.1768910065515188,,,12
Panorama - SE,3,1.1768910065515188,,,12
M-200,3,1.1768910065515188,,,12
ION 1000,2,1.1179273377010126,SD-WAN,,13
M-100,2,1.1179273377010126,,,13
Prisma SaaS,2,1.1179273377010126,SaaS Cloud Security,,13
ION 7000,2,1.1179273377010126,SD-WAN,,13
PA-2020,1,1.0589636688505062,,,14
Prisma Access for Users-SE,1,1.0589636688505062,,,14
ION 7116V,1,1.0589636688505062,,,14
Prisma Cloud,1,1.0589636688505062,Secured Cloud,,14
GP-100,1,1.0589636688505062,,,14
PA-3250-ZTP,1,1.0589636688505062,Security Appliance Firewall- HW Model-ZTP,No,14
Prisma Cloud Compute Edition,1,1.0589636688505062,,,14
Prisma Access for Networks,1,1.0589636688505062,,,14
PA-3260-ZTP,1,1.0589636688505062,Security Appliance Firewall- HW Model-ZTP,No,14
Cortex Data Lake - SE,1,1.0589636688505062,,,14
Cortex XSOAR,1,1.0589636688505062,Orchestration & automation for security operations,,14
ION VM,0,1.0,,,15
PA-820-ZTP,0,1.0,Security Appliance Firewall- HW Model-ZTP,No,15
ION 9000,0,1.0,SD-WAN,,15
CGX,0,1.0,,,15
