products,%count,types,capacities,EOS,Rank
PA-M-200,8.004037105998139,Firewall Management/Logging,2.0,No,1
PA-M-600,5.049030456177683,Firewall Management/Logging,4.0,No,2
M-600,3.807463758478521,,,,3
WF-500,2.2396149753956642,Threat Analysis,1.0,No,4
Prisma Access,2.0908392073414017,Secure Access,,,5
Prisma Access for Users,1.9254082989759276,,,,6
PA-VM-FLEX,1.7220235403644102,Virtualized  NG Firewall,,No,7
M-500,1.697337411889879,,,,8
PA-220-ZTP,1.637120627743051,Security Appliance Firewall- HW Model-ZTP,0.56,No,9
Cortex XDR,1.4584219976060646,,,,10
PA-850-ZTP,1.4337358691315334,Security Appliance Firewall- HW Model-ZTP,2.1,No,11
PA-3260-ZTP,1.3536387817528928,Security Appliance Firewall- HW Model-ZTP,8.7,No,12
ION 3000,1.3536387817528928,SD-WAN,0.5,,12
GP-100,1.32624152147892,,,,13
M-100,1.2724943476526134,,,,14
Cortex Data Lake,1.2708305625748106,Storage Product,,,15
TRAPS,1.258795717515627,,,,16
ION 7000,1.2461444341002794,SD-WAN,1.0,,17
ION 2000,1.2423859555791994,SD-WAN,0.15,,18
Prisma Cloud,1.2324458039632928,Secured Cloud,,,19
M-200,1.2187471738263067,,,,20
Prisma SaaS,1.2187471738263067,SaaS Cloud Security,,,20
PA-3220-ZTP,1.1886387817528927,Security Appliance Firewall- HW Model-ZTP,4.8,No,21
Prisma Access for Networks,1.1496375847852107,,,,22
PA-820-ZTP,1.1211929777895997,Security Appliance Firewall- HW Model-ZTP,1.7,No,23
Panorama - SE,1.1074943476526133,,,,24
Prisma Access for Users-SE,1.0537471738263067,,,,25
PA-2020,1.0537471738263067,,,,25
Cortex Data Lake - SE,1.0537471738263067,,,,25
Cortex XSOAR,1.0537471738263067,Orchestration & automation for security operations,,,25
PA-3250-ZTP,1.0410958904109588,Security Appliance Firewall- HW Model-ZTP,5.8,No,26
ION 9000,1.0273972602739725,SD-WAN,,,27
ION 1000,1.0136986301369861,SD-WAN,0.1,,28
Prisma Cloud Compute Edition,1.0136986301369861,,,,28
ION 7116V,1.0,,,,29
ION VM,1.0,,,,29
CGX,1.0,,,,29
