products,count,types,EOS,Rank
PA-5220,3975,Security Appliance Firewall- HW Model,No,1
PA-220,3604,Security Appliance Firewall- HW Model,No,2
PA-3220,3552,Security Appliance Firewall- HW Model,No,3
PA-820,3078,Security Appliance Firewall- HW Model,No,4
PA-850,2763,Security Appliance Firewall- HW Model,No,5
PA-5250,1963,Security Appliance Firewall- HW Model,No,6
PA-3250,1353,Security Appliance Firewall- HW Model,No,7
PA-3260,1214,Security Appliance Firewall- HW Model,No,8
PA-5260,881,Security Appliance Firewall- HW Model,No,9
PA-7050,509,Security Appliance Firewall- HW Model,No,10
PA-7080,131,Security Appliance Firewall- HW Model,No,11
PA-5280,66,Security Appliance Firewall- HW Model,No,12
PA-220R,33,Security Appliance Firewall- HW Model,No,13
PA-440,1,Security Appliance Firewall- HW Model,No,14
PA-460,1,Security Appliance Firewall- HW Model,No,14
